,id,suc,store_point,lon,lat,geometry
,Derrumbe,10 de abril y anenecuilco,,-99.1111852,19.3165437,
,Derrumbe,Escuela Montesqueu,,-99.1368913,19.3165082,
,Derrumbe,Soriana Taxque–a,,-99.1437585,19.3428605,
,Da–os,Hospital General Dr. Manuel Gea,,-99.1642673,19.290087,
,Da–os,Calzada de la viga y Anastasio Sarabia,,-99.1227088,19.3617115,
,Da–o mayor,Residencial Tlacoquemecatl,,-99.1746147,19.3780309,
,Da–os,Residencial Miguel Negrete y Ni–os HŽroes,,-99.1484456,19.3877398,
,Da–os,Residencial Xola y Bolivar,,-99.1462771,19.3948528,
,Derrumbe,Puebla y Orizaba,,-99.146265,19.3877512,
,Derrumbe,Gabriel Mancera y Eugenia,,-99.1652675,19.3866975,
,Derrumbe,Patricio Sans y California,,-99.1726883,19.3816149,
,Da–os,Patricio Sans y Torres Adalid,,-99.1726936,19.3901974,
,Da–os,Patricio Sans 612,,-99.1707051,19.3915996,
,Derrumbe,Av Coyoacan y Providencia,,-99.167299,19.3974597,
,Da–os,Edificio Servicio Nacional del Empleo,,-99.1634051,19.3977465,
,Derrumbe,Amores y Viaducto,,-99.162399,19.4017452,
,Derrumbe,Baja California y Torreon,,-99.1628185,19.4050345,
,Da–o mayor,Baja California y Manzanillo,,-99.1677978,19.4080493,
,Derrumbe,Eje 2 y Amsterdam,,-99.1670705,19.4128675,
,Derrumbe,Alvaro Obregon y Valladolid,,-99.1665561,19.4169795,
,Da–os,Chihuahua y Orizaba,,-99.1606335,19.4172789,
,Da–os,Puebla y Medellin,,-99.1683086,19.4214881,
,Da–os,Genova,,-99.1664587,19.4267575,
,Da–os,San Antonio Abad y Chavero,,-99.1366756,19.4170186,
,Da–o mayor,Republica de Argentina y el Carmen,,-99.1304957,19.4372656,
,Da–o mayor,Edificio SNTE,,-99.1311086,19.4372966,
,Derrumbe,Mina 16 y 2 de abril,,-99.1418991,19.4383443,
,Derrumbe,Lerdo y Magnolia,,-99.1463198,19.4427896,
,Derrumbe,Comonfort y Jaime Nuno,,-99.1372099,19.4456975,
,Da–os,Vallarta e Ignacio Ramirez,,-99.1567542,19.4347052,
,Derrumbe,Laguna de terminos y lago cuitzeo,,-99.1765822,19.4418086,
,Derrumbe,Sierravista y Ticoman,,-99.12286,19.493795,
,Da–o mayor,Aeropuerto Internacional de la CDMX,,-99.0865854,19.4240967,
,Da–o mayor,Fuente del Pescador,,-99.2567572,19.4006283,
